,reviews
19,For Flipkart=======-Please don’t get phones from other sellers in flipkart. Please go for WS retail. -They WS Retail Deliver the Genuine product For Apple iPhone 4S================PROS- 1 iOS7.1.2 and Good battery life ( my usage is very low )2 Excellent retina display.3 Good sound quality an alternate for an ipod.4 Best touch interface I have ever used.5 Better build quality ( no plastic feel )6 Superb camera.Cons Small Phone - Handy No access to Android phones trough Bluetoo...READ MORE
20,"I purchased this phone after a lot of review as usual and now I am sooo happy with my decision. This phone is amazing even after 4 years of its launch and It looks damn cool and stunning with its glass and steel combination.The best things about this phone --At the price of 13k, it is a treat for the buyer. I just love its looks and no other phone can match it at this price range.This phone is for people who don't like jumbo screen phones.It is small, it is cute, it fits well in hand and t...READ MORE"
21,"Having used an Android phone for more than 3 years, I have been pretty impressed with its battle against Apple. Android as a software is independent and companies can make their own smartphones which would be powered by Android.              I was looking for a new phone and had narrowed down my search to three phones - Nexus 5, HTC Desire 616 and iPhone 4S. Almost till the end, I had zeroed down to the Nexus 5. But at the last moment, I decided to take a serious look at my 'requirements'. ...READ MORE"
22,"Nothing to say about iPhone 4s, as it's a premium phone in the market. I never used iPhone but after receiving the product and after using it I must say that ""iPhone toh iPhone hai :p"". I already used almost all kind of mobiles from Symbian-Bada, Android-Windows-RIM, but from my personal experience, IOS7 is just awesome. Android is also good even better than other operating systems.I must say that if u never used iPhone then please use it once, if you are planning to but a phone in the ra...READ MORE"
23,"This is a phone that is ages old. So i did not kid myself while buying this product. My requirements were good/average battery life, a hassle free OS, very good audio (i listen to music a lot) and an average camera. Till now the battery life is good. With 3g and wifi usage it is almost 1 charge per day. However gaming drains the battery a lot( i only played candy crush and 8 pool) and i did not dare to try graphics heavy games on this. However, one plus point is that the phone charges super...READ MORE"
24,"Finding a new phone is like finding a matrimonial match. You need to be very specific with your requirements and budget. There are plenty of fishes in the sea and you want the best one for yourself. If you are not a silver spoon holder, you might want to not burn a hole in your pocket and yet have a fully functional smartphone.You know she has had a few boyfriends/hook ups before (this product is first hand, referring to the model being 3 year old) but you know she has been the perfect girlf...READ MORE"
25,Dont compare ios with other operating system once you use then only you will come to know the worth of phone. The Music effect is awesome with headset. you will experience the  top most beats effect.  The touch sensitivity is un believable. The biggest strength of apple is Built in quality !! So people who like to use quality product go to i phone.READ MORE
26,"1 year back I switched from Samsung Grand Duos to iPhone 4S 8 GB as I didn't have that much money to buy an iPhone 5. I was very happy with the performance of this phone. Even though there was no external memory slot, still I went for it as I don't use the phone for games or other junk things. Now, after the release of iOS 8, my phone memory is not enough after removing all my apps and the data. Hence upgrading to new OS is not possible and it disappointed me. The only option is to upgrade my...READ MORE"
27,The phone which gives great experience in its features even with less spec when compared with the andriod models with higher spec than 4s. The only problem is 8GB storage size which is not really sufficient for keeping all your stuffs. Suggest to opt for higher storage device.Flipkart and Seller service:Best as usual. Got the item with best in class package and received my phone well before the committed delivery date.READ MORE
28,"Flipkart has surely got an admirer in me.After much research I finalised the deal for iphone 4s and am very happy to bag it.The phone n case combo added further joy in the purchase.After much search (and bargain),flipkart was the one to offer lowest price and highest discount.The order was tracable all the time and time to time alerts were received.As expected the product arrived 2 days earlier than promised without paying any extra money and it was in best condition.No complaints regarding a...READ MORE"
29,"I purchased the Iphone 4s with 16 GB for INR 45000 in 2011 when it was launched. I guess it's high time that I wrote a review being a constant flipkart customerI had purchased an Iphone 4 initially but quickly sold it for an Iphone 4S after I watched the Apple Keynote (launch) in 2011 when I understood that the Iphone 4S was leaps and bounds ahead of Iphone 4. Any Iphone is the best in class for it's touch interface, design quality and such things. So I would not elaborate on those trivial ...READ MORE"
30,"Its obvious that people who buy smart phones use it for browsing and  video calling enabled by 3G ( doesn apple know this , they after all haven attached a manual pamphlet rather suggest us to check their website for user support ) , yet why cant apple improve / provide better battery capacity . Whats the use of having a smart phone,  flaunting it when it dies too quick .  Sick and tried of running to charge .  For those who travel , it gives an annoying experience.   itune mandatory credit c...READ MORE"
31,"I bought this when 4S was almost out of the market and I wanted this model only. Thanks to flipkart I am now a proud owner of IPhone 4S. Awesome phone, one of the best in the market till date. Great Packing and got it delivered with 3 days of purchase. Thanks FlipkartREAD MORE"
